Monday 15th May 2023 AM,,,
UNIT CODE,SUBJECT,TIER,DURATION
8062/ 11-17 ,Religious Studies A Paper 1 ,,1h 45m 
8063/1,Religious Studies B Paper 1,,1h 45m
Monday 15th May 2023 PM,,,
UNIT CODE,SUBJECT,TIER,DURATION
8100/1,Citizenship Studies Paper 1,,1h 45m
8261/W,Drama,,1h 45m
8633/LF,Italian Paper 1,F,35m
8633/LH,Italian Paper 1,H,45m
8633/RF,Italian Paper 3,F,45m
8633/RH,Italian Paper 3,H,1h
Tuesday 16th May 2023 AM,,,
UNIT CODE,SUBJECT,TIER,DURATION
8461/1F and 1H,Biology Paper 1 (both tiers),F & H,1h 45m 
8465/1F and 1H ,Combined Science: Synergy Paper 1 (both tiers) ,F & H,1h 45m
8464/B/1F and 1H,Combined Science: Trilogy - Biology Paper 1 (both tiers),F & H,1h 15m
Tuesday 16th May 2023 PM,,,
UNIT CODE,SUBJECT,TIER,DURATION
8668/LF,German Paper 1,F,35m
8668/LH,German Paper 1,H,45m
8668/RF,German Paper 3,F,45m
8668/RH,German Paper 3,H,1h
8572/1,Media Studies Paper 1,,1h 30m
8192/1,Sociology Paper 1,,1h 45m
8648/LF,Urdu Paper 1,F,35m
8648/LH,Urdu Paper 1,H,45m
8648/RF,Urdu Paper 3,F,45m
8648/RH,Urdu Paper 3,H,1h
Wednesday 17 May 2023 AM,,,
UNIT CODE,SUBJECT,TIER,DURATION
8702/1,English Literature Paper 1,,1h 45m
Wednesday 17 May 2023 PM,,,
UNIT CODE,SUBJECT,TIER,DURATION
8136/1,Economics Paper 1,,1h 45m
8582/1,Physical Education Paper 1,,1h 15m
Thursday 18 May 2023 AM,,,
UNIT CODE,SUBJECT,TIER,DURATION
8145/1A/A - 1B/E,History Paper 1,,2h
Thursday 18 May 2023 PM,,,
UNIT CODE,SUBJECT,TIER,DURATION
8525/1A,Computer Science,,2h
8525/1B,Computer Science,,2h
8525/1C,Computer Science,,2h
8182/1,Psychology Paper 1,,1h 45m
Friday 19 May 2023 AM,,,
UNIT CODE,SUBJECT,TIER,DURATION
8300/1F and 1H,Mathematics Paper 1 (non-calculator) (both tiers),F & H,1h 30m
Friday 19 May 2023 PM,,,
UNIT CODE,SUBJECT,TIER,DURATION
8132/1,Business Paper 1,,1h 45m
8673/LF,Chinese (Mandarin) Paper 1,F,35m
8673/LH,Chinese (Mandarin) Paper 1,H,45m
8673/RF,Chinese (Mandarin) Paper 3,F,45m
8673/RH,Chinese (Mandarin) Paper 3,H,1h
PER3,Performing arts Unit 3: The performing arts experience,,1h 30m
Monday 22 May 2023 AM,,,
UNIT CODE,SUBJECT,TIER,DURATION
8658/LF,French Paper 1,F,35m
8658/LH,French Paper 1,H,45m
8658/RF,French Paper 3,F,45m
8658/RH,French Paper 3,H,1h
Monday 22 May 2023 PM,,,
UNIT CODE,SUBJECT,TIER,DURATION
8035/1,Geography Paper 1,,1h 30m
Tuesday 23 May 2023 AM,,,
UNIT CODE,SUBJECT,TIER,DURATION
